a.id	b.id	relation	bidirectional	detectionMethod	pmid	a.organism	b.organism	a.name	a.idType	b.name	b.idType	cellType	a.modification	a.cellularComponent	b.modification	b.cellularComponent	provider	comment
367	55	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	ACPP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	551	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	AVP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	900	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	CCNG1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	1893	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	ECM1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2002	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	ELK1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2158	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	F9	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2258	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	FGF13	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2247	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	FGF2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2253	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	FGF8	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2274	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	FHL2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3169	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	FOXA1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	2962	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	GTF2F1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3020	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	H3F3A	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	9982	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	HBP17	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3224	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	HOXC8	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	10524	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	HTATIP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3454	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	IFNAR1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3488	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	IGFBP5	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3569	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	IL6	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3572	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	IL6ST	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	23415	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KCNH4	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	131096	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KCNH8	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	43847	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KLK14	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	55554	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KLK15	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3817	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KLK2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	354	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KLK3	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3818	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	KLKB1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	3936	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	LCP1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	4582	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	MUC1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	4609	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	MYC	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	11143	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	MYST2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	8648	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	NCOA1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	8031	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	NCOA4	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	23054	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	NCOA6	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	8996	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	NOL3	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	11162	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	NUDT6	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	1795	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PBP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5225	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PGC	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5284	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PIGR	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5310	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PKD1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5328	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PLAU	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	10957	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PNRC1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5469	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PPARBP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5473	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PPBP	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	692236	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	PWCR1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	57178	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	RAI17	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	5914	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	RARA	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	6047	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	RNF4	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	7227	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	TRPS1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
367	7337	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	AR	entrezGeneID	UBE3A	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	8553	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	BHLHB2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	79365	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	BHLHB3	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	1906	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	EDN1	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	112398	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	EGLN2	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	30001	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	ERO1L	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	2353	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	FOS	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
405	3091	psi-mi:MI:0407(direct interaction)	FALSE	psi-mi:MI:0402(chromatin immunoprecipitation assay)	22955619	9606	9606	ARNT	entrezGeneID	HIF1A	entrezGeneID	NA	NA	NA	NA	NA	gerstein.2012	NA
